Model,Performance,Price,RAM,Storage,Slots,Category
136,9,502,4,1024,1,High
137,5,1063,32,256,0,Low
138,6,1552,8,1024,1,Low
139,4,1999,16,128,0,Low
140,10,1550,16,256,0,High
141,7,1982,32,128,0,High
142,9,1855,4,1024,0,High
143,7,1764,8,512,1,High
144,1,1725,4,512,0,Low
145,1,346,4,256,0,Low
146,9,1556,4,128,1,High
147,9,1628,4,128,1,High
148,4,1849,16,256,2,Low
149,9,1466,16,512,1,High
150,3,1738,4,1024,1,Low
151,7,1836,8,256,2,High
152,6,1696,32,1024,1,Low
153,8,1889,8,512,1,High
154,9,1582,8,128,1,High
155,5,955,8,512,1,Low
156,1,770,4,256,2,Low
157,3,1270,16,128,1,Low
158,10,1335,8,256,1,High
159,8,1653,4,256,2,High
160,6,1035,8,512,0,Low
161,8,1083,8,256,2,High
162,9,1267,4,512,0,High
163,4,657,16,128,2,Low
164,1,1271,16,512,2,Low
165,1,1731,32,128,1,Low
166,10,967,4,512,0,High
167,4,672,32,1024,1,Low
168,7,1331,32,1024,0,High
169,2,1445,32,256,2,Low
170,3,1671,16,512,2,Low
171,1,975,4,512,0,Low
172,5,389,32,128,1,Low
173,1,1971,4,256,1,Low
174,8,997,4,512,1,High
175,1,1639,16,256,1,Low
176,1,1501,32,1024,2,Low
177,2,839,32,512,2,Low
178,2,1031,4,512,2,Low
179,6,1168,8,256,2,Low
180,7,340,16,512,2,High
181,5,1039,16,256,1,Low
182,1,801,16,512,1,Low
183,1,1258,16,128,1,Low
184,3,1468,32,256,1,Low
185,2,1524,32,512,2,Low
186,5,1228,8,1024,2,Low
187,10,760,16,512,2,High
188,6,1031,16,1024,0,Low
189,7,1051,4,1024,1,High
190,4,1224,32,128,1,Low
191,7,1208,16,256,2,High
192,8,1881,8,512,1,High
193,1,1870,8,128,1,Low
194,6,1576,32,512,2,Low
195,8,689,8,1024,0,High
196,5,1917,8,256,0,Low
197,4,1182,32,512,0,Low
198,2,555,16,512,2,Low
199,6,1008,16,1024,1,Low
200,6,749,8,512,2,Low
201,1,309,8,512,2,Low
202,9,1123,16,1024,1,High
203,6,1097,32,128,0,Low
204,3,1565,8,1024,0,Low
205,4,1574,4,128,2,Low
206,4,1176,32,256,0,Low
207,3,1328,8,128,2,Low
208,10,1442,8,128,2,High
209,3,1315,4,256,1,Low
210,3,673,4,128,1,Low
211,4,1388,16,1024,1,Low
212,7,445,32,128,2,High
213,4,523,32,256,1,Low
214,9,1562,16,1024,0,High
215,1,476,32,256,0,Low
216,8,1152,32,256,2,High
217,7,1605,32,512,2,High
218,2,362,32,512,1,Low
219,8,1540,32,256,2,High
220,1,1126,4,256,2,Low
221,9,1094,32,256,0,High
222,9,988,4,512,0,High
223,2,1784,32,512,1,Low
224,7,1933,16,128,2,High
225,10,404,8,128,2,High
226,3,1422,4,256,0,Low
227,7,810,32,1024,2,High
228,10,684,16,1024,0,High
229,9,704,8,512,1,High
230,4,1122,4,512,0,Low
231,1,817,8,512,2,Low
232,2,775,16,256,1,Low
233,1,1008,4,1024,0,Low
234,5,1968,8,128,0,Low
235,5,1070,32,256,1,Low
236,7,1760,4,128,1,High
237,9,1346,8,128,0,High
238,9,1296,16,256,2,High
239,3,1888,16,128,0,Low
240,3,976,4,1024,1,Low
241,3,1013,8,128,0,Low
242,4,1781,4,1024,1,Low
243,8,382,4,1024,1,High
244,6,1468,8,1024,2,Low
245,8,1408,8,512,1,High
246,1,1401,32,128,1,Low
247,8,756,8,256,2,High
248,4,300,16,256,1,Low
249,1,350,4,128,2,Low
250,8,984,4,512,2,High
251,4,1016,16,512,1,Low
252,6,1769,8,1024,1,Low
253,8,748,16,128,0,High
254,4,1180,16,128,2,Low
255,3,787,32,256,0,Low
256,9,333,16,128,1,High
257,3,1671,4,512,0,Low
258,9,394,16,128,2,High
259,2,1395,4,256,0,Low
260,2,1874,4,1024,2,Low
261,2,453,4,256,1,Low
262,6,549,8,256,1,Low
263,3,973,32,1024,2,Low
264,9,737,4,256,1,High
265,4,417,4,256,1,Low
266,1,1070,8,128,1,Low
267,4,1629,4,128,1,Low
268,1,567,16,1024,2,Low
269,5,1377,16,128,0,Low
270,4,535,32,128,0,Low
271,8,688,4,256,1,High
272,8,1289,8,512,0,High
273,7,1062,16,128,0,High
274,3,700,8,512,1,Low
275,1,923,8,128,1,Low
276,1,1066,16,128,0,Low
277,3,1626,8,1024,2,Low
278,6,1218,16,1024,1,Low
279,7,1530,8,1024,2,High
280,6,1552,16,512,0,Low
281,6,1152,4,256,1,Low
282,6,877,32,128,2,Low
283,3,374,16,128,1,Low
284,6,734,16,128,0,Low
285,8,402,32,512,2,High
286,2,1745,16,1024,0,Low
287,5,1063,16,256,0,Low
288,1,1037,8,512,1,Low
289,1,1105,32,1024,2,Low
290,5,1629,4,512,0,Low
291,3,397,16,256,0,Low
292,4,1097,32,1024,2,Low
293,3,1658,8,512,0,Low
294,1,1158,4,256,0,Low
295,1,734,32,128,2,Low
296,5,746,4,256,2,Low
297,6,1631,4,128,2,Low
298,3,548,4,512,2,Low
299,9,465,16,1024,1,High
300,5,1804,16,1024,2,Low
301,8,1283,8,512,1,High
302,1,1658,8,1024,1,Low
303,5,1319,32,1024,1,Low
304,3,841,8,128,0,Low
305,1,1058,4,512,1,Low
306,4,1429,4,256,1,Low
307,5,1886,16,128,0,Low
308,7,380,4,512,0,High
309,1,432,32,128,0,Low
310,3,1096,4,256,2,Low
311,2,1199,4,256,0,Low
312,9,437,32,512,0,High
313,10,483,8,256,1,High
314,6,1724,8,128,0,Low
315,10,1653,32,256,2,High
316,3,1084,16,128,0,Low
317,8,1831,4,128,2,High
318,8,1283,32,256,0,High
319,2,368,4,512,0,Low
320,6,845,16,1024,0,Low
321,7,352,4,256,0,High
322,2,1773,32,128,2,Low
323,10,504,4,128,2,High
324,2,425,8,256,1,Low
325,10,342,16,512,2,High
326,1,410,16,512,0,Low
327,8,1060,16,128,1,High
328,1,1986,32,128,1,Low
329,9,1506,16,512,1,High
330,6,1147,8,1024,0,Low
331,7,394,32,256,2,High
332,10,1697,8,128,0,High
333,7,1843,4,128,1,High
334,10,1199,4,512,0,High
335,3,659,4,256,0,Low
336,2,1199,4,512,2,Low
337,9,580,8,256,2,High
338,8,1518,32,256,1,High
339,10,1518,32,256,0,High
340,7,966,16,128,0,High
341,9,392,8,1024,2,High
342,4,971,4,512,0,Low
343,4,360,8,1024,0,Low
344,1,933,16,512,0,Low
345,8,1374,16,256,2,High
346,3,1726,8,128,1,Low
347,7,1328,8,1024,1,High
348,2,1789,8,128,0,Low
349,2,903,32,512,1,Low
350,7,981,4,128,2,High
351,6,833,8,128,2,Low
352,3,1728,8,1024,1,Low
353,9,1137,8,256,1,High
354,10,1836,16,128,0,High
355,6,944,16,256,1,Low
356,10,532,32,512,0,High
357,10,823,4,128,0,High
358,6,645,32,1024,2,Low
359,1,1369,4,512,2,Low
360,4,845,16,512,2,Low
361,10,1401,16,1024,2,High
362,6,1396,16,128,1,Low
363,6,1093,32,128,2,Low
364,5,548,8,512,1,Low
365,1,346,8,128,2,Low
366,8,1444,16,256,1,High
367,5,513,8,1024,0,Low
368,5,538,8,256,1,Low
369,7,1379,32,128,1,High
370,4,649,4,512,2,Low
371,6,406,16,1024,1,Low
372,4,1130,16,128,0,Low
373,3,347,32,128,0,Low
374,7,1896,32,512,2,High
375,8,636,8,512,0,High
376,4,1349,16,256,1,Low
377,2,1103,4,1024,0,Low
378,10,1580,32,1024,2,High
379,3,307,4,512,1,Low
380,1,924,4,256,2,Low
381,8,1576,16,1024,1,High
382,3,1018,16,512,0,Low
383,10,602,32,128,2,High
384,7,938,16,1024,2,High
385,10,355,16,256,1,High
386,5,1025,16,256,2,Low
387,10,825,4,256,1,High
388,5,773,32,128,1,Low
389,7,327,8,1024,1,High
390,9,377,4,1024,1,High
391,5,1539,16,128,0,Low
392,1,1709,4,1024,1,Low
393,10,664,16,128,2,High
394,10,965,16,128,0,High
395,1,825,4,128,2,Low
396,2,998,32,256,0,Low
397,6,1635,16,1024,1,Low
398,9,1182,32,128,0,High
399,8,1330,8,1024,0,High
400,5,1326,16,256,2,Low
401,1,1946,32,128,2,Low
402,7,1218,32,512,1,High
403,5,1049,8,256,0,Low
404,6,662,32,512,0,Low
405,7,1831,32,1024,0,High
406,3,1597,8,1024,1,Low
407,10,1829,16,256,1,High
408,3,1105,32,1024,1,Low
409,5,1038,32,512,1,Low
410,6,1338,32,128,1,Low
411,9,1515,4,128,2,High
412,5,1954,8,128,0,Low
413,1,784,4,256,0,Low
414,4,327,8,1024,0,Low
415,5,1013,16,512,0,Low
416,10,1362,16,1024,0,High
417,10,1596,32,1024,0,High
418,5,1554,8,1024,0,Low
419,7,385,16,128,0,High
420,4,1797,8,512,2,Low
421,1,425,16,512,0,Low
422,5,1111,4,1024,2,Low
423,7,836,16,128,1,High
424,10,444,4,128,0,High
425,10,1848,16,512,1,High
426,6,1535,32,128,1,Low
427,5,324,4,128,1,Low
428,4,1903,16,128,2,Low
429,2,1717,32,256,1,Low
430,4,366,4,1024,1,Low
431,10,532,32,512,1,High
432,10,408,8,512,0,High
433,3,1469,8,256,0,Low
434,10,410,4,1024,2,High
435,1,527,16,512,2,Low
436,8,410,4,128,0,High
437,5,1793,32,512,2,Low
438,4,333,16,128,0,Low
439,8,922,8,256,1,High
440,7,1692,16,128,1,High
441,2,1047,8,512,2,Low
442,1,894,16,512,0,Low
443,4,1877,16,512,0,Low
444,8,724,16,256,2,High
445,2,912,32,256,0,Low
446,3,1841,32,1024,1,Low
447,1,991,4,512,2,Low
448,1,1605,4,128,2,Low
449,3,1643,8,256,0,Low
450,5,1766,32,512,2,Low
451,3,614,8,512,0,Low
452,1,1176,4,256,0,Low
453,1,1700,8,1024,0,Low
454,8,1612,4,256,0,High
455,10,1760,32,256,0,High
456,2,961,16,128,2,Low
457,3,576,32,128,1,Low
458,2,1905,8,1024,1,Low
459,3,1826,8,512,2,Low
460,7,923,32,256,2,High
461,1,815,32,1024,1,Low
462,10,1673,4,128,1,High
463,8,1142,8,256,1,High
464,10,1769,8,512,1,High
465,10,649,32,128,1,High
466,10,1930,16,128,0,High
467,2,1987,8,128,2,Low
468,3,1122,16,1024,0,Low
469,9,1460,32,512,1,High
470,7,1058,32,256,1,High
471,4,1198,4,1024,1,Low
472,10,542,8,1024,0,High
473,5,842,16,1024,0,Low
474,2,1363,4,128,1,Low
475,8,528,8,512,0,High
476,4,847,4,1024,0,Low
477,9,1219,32,256,1,High
478,5,1546,8,512,0,Low
479,9,305,4,256,2,High
480,4,1645,4,512,2,Low
481,10,767,16,256,2,High
482,5,374,4,128,2,Low
483,9,303,8,1024,1,High
484,8,945,8,256,1,High
485,3,417,16,512,1,Low
486,1,1180,8,1024,2,Low
487,3,1929,32,1024,2,Low
488,4,803,8,512,0,Low
489,2,1246,8,256,0,Low
490,1,873,4,128,2,Low
491,7,1764,4,128,2,High
492,8,493,8,256,2,High
493,7,1146,16,1024,2,High
494,5,1014,4,1024,0,Low
495,1,1715,16,1024,2,Low
496,7,1349,8,1024,0,High
497,7,1758,8,256,2,High
498,9,472,32,1024,2,High
499,3,1623,4,512,2,Low
